market,airlineAA,airlineDL,airlineUA,airlineAL,airlineLCC,airlineWN,marketdistance,fromcenterdistance,mindistance,changeincmarket,percapitaincmarket,marketsize,wrightamendmDAL,dallasmarket,marketpresenceAA,marketpresenceDL,marketpresenceUA,marketpresenceAL,marketpresenceLCC,marketpresenceWN,mindistancefromhubAA,mindistancefromhubDL,mindistancefromhubUA,mindistancefromhubAL,mindistancefromhubLCC,mindistancefromhubWN
"ABEATL",0,1,0,0,0,0,.692,1.343002,.3353065,3.25,3.195271,1.816543,0,0,.18,.5590909,.2463636,.480303,.1066667,0,.8183199,0,.8183199,.0209896,0,.0069186
"ABEBNA",0,0,0,1,0,0,.685,1.141123,.3353065,3.2,3.085657,1.001007,0,0,.2037037,.4646465,.2058081,.4886364,0,.212963,.5498015,.0674165,.5498015,.0409346,.0382016,.0323355
"ABECVG",0,0,0,0,0,0,.503,1.226692,.3353065,2.45,3.070847,1.232561,0,0,.0384615,.6462704,.219697,.3636364,0,0,.8220864,0,.8220864,.0086629,.11394,.0927322
"ABEDAL",0,0,0,0,0,0,1.3,1.333661,.1141117,3,3.228897,2.002419,1,1,.0428571,.1876623,.1363636,.3636364,0,.4142857,.0124548,.0035599,.1154926,.0077752,.0123719,.0205587
"ABEDEN",0,0,1,1,0,0,1.539,1.598928,.3353065,4.1,3.491519,1.374757,0,0,.278169,.4337388,.4708707,.5044814,.0809859,0,0,.0180333,0,0,0,0
"ABEDFW",0,0,1,1,0,0,1.308,1.338382,.1141117,3,3.228897,2.002419,0,1,.3726115,.4839317,.2796757,.4559931,.0923567,0,0,0,.1114409,.007068,0,.0206444
"ABEFLL",0,1,0,1,0,0,1.041,1.902844,.2116254,3.25,3.115213,1.958312,0,0,.1929825,.5625997,.1626794,.5960925,.1140351,.1578947,.7631299,.2230449,.7631299,.0074104,.0012062,.0067367
"ABEIND",0,0,0,1,0,0,.577,1.158396,.3353065,2.75,3.138169,1.079609,0,0,.2391304,.3601779,.326581,.5755929,.0380435,.1793478,.4372279,.0389564,.4372279,0,.109487,.1001472
"ABELAX",0,0,0,1,0,0,2.388,2.402633,.1831448,3.45,3.121347,3.067234,0,0,.3137931,.4556426,.4053292,.5153605,.0448276,.1689655,.0017096,.0032041,.0017096,0,0,0
"ABEMCO",0,1,0,1,0,0,.906,1.729543,.3353065,2.85,2.871546,1.131137,0,0,.2413793,.5039185,.2846395,.5774295,.0896552,.1551724,.8297785,.2088463,.8297785,.0123457,.001412,.0035579
"ABEMIA",0,0,0,1,0,0,1.062,1.913854,.2116254,3.25,3.115213,1.958312,0,0,.3185841,.477675,.2469831,.571601,.0884956,0,.7427884,.2122249,.7427884,.0070858,.0010722,.006221
"ABEMSY",0,1,0,1,0,0,1.111,1.410574,.3353065,4.4,2.921081,.9916537,0,0,.2173913,.5112648,.2363636,.4853755,.0826087,.2043478,.3412666,.0044342,.3412666,.0174173,.0044342,.0064839
"ABEORD",0,0,1,1,0,0,.654,1.19685,.1550676,1.85,3.27182,2.626127,0,0,.3464052,.394385,.4468212,.4910874,.0163399,0,0,.1705905,0,0,.0078805,.0078805
"ABEPBI",0,0,0,1,0,0,.999,1.871119,.3353065,3,3.707777,.9319528,0,0,.0731707,.5920178,.1485588,.6258315,.054878,.1402439,.798986,.2382197,.798986,.0081715,.0081715,.0070565
"ABERSW",0,1,0,1,0,0,1.038,1.820543,.2649559,6.6,3.071761,.5866181,0,0,.186747,.5145126,.1484118,.6046003,.1084337,0,.7090128,.1630843,.7090128,.0103162,.0014326,.003715
"ABESFO",0,0,1,0,0,0,2.5,2.556754,.1120481,.9,3.900093,1.769522,0,0,.2857143,.4279985,.4640948,.5190986,.0546218,0,0,.0124217,0,0,0,0
"ABESTL",0,0,0,0,0,0,.805,.9398316,.3353065,1.95,3.090602,1.427802,0,0,.3376068,.2872961,.2517483,.4918415,.0042735,.2051282,.1304382,.0035569,.1304382,0,.0747923,.0633991
"ABETPA",0,1,0,1,0,0,.963,1.711362,.1023103,3.1,2.981101,1.353436,0,0,.2047244,.5252327,.2465999,.5841088,.0905512,.1574803,.729292,.1407632,.729292,.013127,.0007253,.0015268
